E(level)(keV),Jπ(level),T1/2(level),E(γ)(keV),I(γ),M(γ),Final Levels,
11452.8 4,2+,< 2 keV,"721.7,    1393.7,    1487.5,    3704.8,    3836.0,    4103.4,    6216.7,    7213.3,    7328.7,   10081.8,   11449.8","3.4 5 ,     1.14 23 ,    12.7 7 ,     3.2 5 ,     0.9 5 ,     1.36 23 ,     4.1 5 ,    47.7 23 ,     1.82 23 ,   100.0 23 ,    50.0 23",", , , , , , , , , ,","10731.1,    10059.1,     9965.3,     7747.7,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0","2+, (1,2)+, 1+, 1+, 3-, 2+, 3+, 2+, 4+, 2+, 0+"
11457 3,(0+),,,,,,
11522 2,2+,0.5 keV,"791,    1463,    1557,    3164,    3774,    3905,    5089,    7282,    7398,   10151,   11519","1.59 16 ,     2.1 3 ,     1.11 16 ,     0.32 16 ,     1.11 16 ,     1.43 16 ,    12.2 5 ,     8.1 3 ,     7.0 3 ,    23.8 16 ,   100 3",", , , , , , , , , ,","10731.1,    10059.1,     9965.3,     8358.1,     7747.7,     7616.41,     6432.2,     4238.35,     4122.853,     1368.667,        0","2+, (1,2)+, 1+, 3-, 1+, 3-, 0+, 2+, 4+, 2+, 0+"
11527 4,(2+),,,,,,
11568,(2+),,,,,,
11600 2,3-,15 fs 4,"2084,    2299,    2300,    2315,    3242,    3983,    7476","21.8 14 ,    75 5 ,     5.9 14 ,    12.5 11 ,     8.2 7 ,   100 5 ,     3.9 5","[E1], [E1], , [E1], , , [E1]","9516.18,     9301.07,     9299.8,     9284.4,     8358.1,     7616.41,     4122.853","4+, (4+), , 2+,4+, 3-, 3-, 4+"
11618 3,,,,,,,
11698.2 13,4+,1.6 eV 6,"686,    2397,    2398,    3043,    3259,    3885,    4349,    5687,    6462,    7459,    7574,   10327","1.82 23 ,   100 5 ,     1.1 5 ,     2.5 5 ,     3.6 5 ,     1.4 5 ,     5.9 5 ,     5.0 5 ,     6.8 5 ,    19.8 9 ,    15.7 9 ,    64 5",", , , , , , , , , , ,","11012,     9301.07,     9299.8,     8654.9,     8439.29,     7812.4,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","3,5+, (4+), , 2+, 4+, (4-,5+), 2+, 4+, 3+, 2+, 4+, 2+"
11730 2,0+,10 keV 2,"1765,    4174,    7490,   10359","3.48 22 ,     1.63 11 ,     3.59 22 ,   100.0 22",", , ,","9965.3,     7555.3,     4238.35,     1368.667","1+, 1-, 2+, 2+"
11830 2,,,,,,,
11860 2,(8+),63 fs 24,3747,100,,8113.2,6+
11862.8 13,1-,7.0 keV 3,"4306,    4513,    7622,   10491,   11859","4.4 4 ,     1.75 18 ,     4.4 4 ,    65 4 ,   100 4",", , , ,","7555.3,     7348.60,     4238.35,     1368.667,        0","1-, 2+, 2+, 2+, 0+"
11909 2,,5.5 keV 22,,,,,
11932.9 2,(3)+,< 0.02 keV,"2631.9,    3068.4,    4120.5,    4583.6,    5922.0,    6696.9,    7693.4,    7808.9,   10561.9","0.19 7 ,     0.34 7 ,     1.41 16 ,     1.62 19 ,     4.3 5 ,     1.27 21 ,     0.51 19 ,    24.4 24 ,   100 10",", , , , , , , ,","9301.07,     8864.5,     7812.4,     7348.60,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","(4+), 2-, (4-,5+), 2+, 4+, 3+, 2+, 4+, 2+"
11966.6 5,2+,2.0 keV 4,"760,    1236,    1908,    2001,    5534,    6731,    7727,    7842,   10596,   11964","0.9 3 ,     3.7 6 ,    12.0 6 ,     4.9 6 ,     9.4 6 ,    60 3 ,    46 3 ,     3.4 3 ,   100 6 ,    46 3",", , , , , , , , ,","11207,    10731.1,    10059.1,     9965.3,     6432.2,     5235.16,     4238.35,     4122.853,     1368.667,        0",", 2+, (1,2)+, 1+, 0+, 3+, 2+, 4+, 2+, 0+"
11988.5 1,2+,< 0.02 keV,"1257.4,    1929.3,    2703.9,    2984.8,    3122.8,    3549.8,    4240.4,    4432.8,    6752.3,    7748.8,   10617.3,   11985.3","0.9 4 ,     1.5 9 ,     2.0 11 ,     1.3 7 ,    11 5 ,     6.3 4 ,    11 5 ,     3.3 17 ,    17 9 ,   100 5 ,    61 2 ,     1.7 9",", , , , , , , , , , ,","10731.1,    10059.1,     9284.4,     9003.5,     8864.5,     8438.4,     7747.7,     7555.3,     5235.16,     4238.35,     1368.667,        0","2+, (1,2)+, 2+,4+, 2+, 2-, 1-, 1+, 1-, 3+, 2+, 2+, 0+"
12003 3,,< 1 keV,"991,    3563,    5992,    7879","19 3 ,     9.5 16 ,    30 3 ,   100 3",", , ,","11012,     8439.29,     6010.34,     4122.853","3,5+, 4+, 4+, 4+"
12017.2 6,3-,0.7 keV 2,,,,,
12051.3 5,4+,< 0.02 keV,"6040,    6815,    7927,   10680","6.9 7 ,    30.6 14 ,   100 3 ,     1.4 3",", , ,","6010.34,     5235.16,     4122.853,     1368.667","4+, 3+, 4+, 2+"
12119.0 10,4+,1.9 keV 3,"2603,    6108,    7879,    7995,   10748","100 8 ,    27 5 ,    92 5 ,    38 5 ,    14 3",", , , ,","9516.18,     6010.34,     4238.35,     4122.853,     1368.667","4+, 4+, 2+, 4+, 2+"
12128 3,,,4315,100,,7812.4,"(4-,5+)"
12162 3,4+,0.9 keV 3,"2646,    3158,    6926,    7922,    8038,   10791","17.6 20 ,     3.9 10 ,     5.9 20 ,    11.8 20 ,   100 6 ,    57 6",", , , , ,","9516.18,     9003.5,     5235.16,     4238.35,     4122.853,     1368.667","4+, 2+, 3+, 2+, 4+, 2+"
12183.3 1,,< 0.046 keV,"966.6,    1452.2,    1822.5,    2217.9,    3528.1,    4435.2,    5750.4,    7943.5,   10812.0,   12180.0","2.1 11 ,     2.0 10 ,     5.0 25 ,     1.4 7 ,     4.8 24 ,     3.7 18 ,     1.8 10 ,    12.8 7 ,   100 6 ,     7 4",", , , , , , , , ,","11216.69,    10731.1,    10360.7,     9965.3,     8654.9,     7747.7,     6432.2,     4238.35,     1368.667,        0","3+,4+, 2+, 2+, 1+, 2+, 1+, 0+, 2+, 2+, 0+"
12244 3,,,,,,,
12259.3 5,2-,< 0.06 keV,"1042.6,    2293.9,    2431.0,    3255.6,    3394.5,    3819.7,    4910.2,    7023.0,    8019.5,    8135.0,   10888.0,   12255.9","3.3 18 ,     1.1 7 ,     2.2 11 ,     4.4 22 ,     9 4 ,     5.6 28 ,     9 4 ,    24.4 22 ,   100 5 ,     1.1 7 ,    60 2 ,     2.2 11",", , , , , , , , , , ,","11216.69,     9965.3,     9828.0,     9003.5,     8864.5,     8439.29,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0","3+,4+, 1+, 1+, 2+, 2-, 4+, 2+, 3+, 2+, 4+, 2+, 0+"
12259.8 4,3-,1.8 keV 3,,,,,
12273 5,(3-),,,,,,
12340 15,[7+],,,,,,
12340.2 4,3+,< 0.07 keV,"1680.3,    3336.5,    3685.0,    4723.3,    4991.0,    7103.9,    8100.4,    8215.8,   10968.8","1.1 7 ,     5.1 27 ,     2.4 13 ,     9 4 ,    29 2 ,    47 2 ,   100 5 ,     4.9 24 ,    24 1",", , , , , , , ,","10659.8,     9003.5,     8654.9,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667","(1,2+), 2+, 2+, 3-, 2+, 3+, 2+, 4+, 2+"
12342 3,,3.5 fs 14,4529,100,,7812.4,"(4-,5+)"
12385,0-,7 keV 2,,,,,
12400.3 5,3+,< 0.09 keV,"2341.1,    2883.9,    2942.3,    3396.5,    4783.4,    5051.1,    7164.0,    8160.5,    8275.9,   11028.9","3.9,    18,     2.8,     4.9,    10,    31,    44,   100,     6,    36",", , , , , , , , ,","10059.1,     9516.18,     9457.81,     9003.5,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667","(1,2)+, 4+, (3)+, 2+, 3-, 2+, 3+, 2+, 4+, 2+"
12404.9 5,2+,< 0.1 keV,"3103.6,    3401.1,    3540.1,    3749.7,    3966.1,    4046.4,    4788.0,    5055.7,    7168.6,    8165.1,    8280.5,   11033.5,   12401.5","2.4 12 ,     4.4 22 ,     2.5 13 ,    19 1 ,     4.1 21 ,     1.6 8 ,    12 6 ,     3.0 15 ,     1.9 10 ,   100 5 ,     1.4 8 ,     3.3 17 ,     3.0 15",", , , , , , , , , , , ,","9299.8,     9003.5,     8864.5,     8654.9,     8438.4,     8358.1,     7616.41,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667,        0",", 2+, 2-, 2+, 1-, 3-, 3-, 2+, 3+, 2+, 4+, 2+, 0+"
12443 3,"6+,7-",11 fs 3,2415,100,,10027.97,5-
12450 3,1-,5.7 keV 4,,,,,
12467 3,2+,5.1 keV 1,,,,,
12478 3,2+,3.8 keV 3,,,,,
12507 3,4+,2.3 keV 3,"5158,    7271,    8267,    8382,   11136","5.8 10 ,    15.4 19 ,    46 4 ,    25 4 ,   100 6",", , , ,","7348.60,     5235.16,     4238.35,     4122.853,     1368.667","2+, 3+, 2+, 4+, 2+"
12527.6 6,1+,7.5 keV 10,"1796.4,    2468.4,    2699.2,    3662.8,    3872.4,    4088.8,    4779.4,    6094.6,    8287.7,   11156.2,   12524.1","1.9 10 ,     6 3 ,     2.6 13 ,     7 3 ,    13 6 ,     7 4 ,    16 8 ,    33 2 ,    36 2 ,    15 8 ,   100 5",", , , , , , , , , ,","10731.1,    10059.1,     9828.0,     8864.5,     8654.9,     8438.4,     7747.7,     6432.2,     4238.35,     1368.667,        0","2+, (1,2)+, 1+, 2-, 2+, 1-, 1+, 0+, 2+, 2+, 0+"
12581 3,2+,5.5 keV 6,,,,,
12638.7 1,4+,0.03 keV 2,"3180.7,    4825.8,    6627.4,    7402.3,    8398.8,    8514.2,   11267.2","0.9 5 ,     3.6 18 ,    15.8 8 ,     8.7 43 ,     0.7 4 ,   100 5 ,     2.0 11",", , , , , ,","9457.81,     7812.4,     6010.34,     5235.16,     4238.35,     4122.853,     1368.667","(3)+, (4-,5+), 4+, 3+, 2+, 4+, 2+"
12659.1 1,,0.08 keV 8,,,,,
12660.8 5,3-,0.9 keV 3,"1930,    2602,    3144,    3796,    4913,    5312,    7424,    8421,    8536,   11289","5 3 ,    16 3 ,    22 3 ,    27 5 ,     5 3 ,    19 3 ,     8 3 ,   100 11 ,    16 3 ,    51 5",", , , , , , , , ,","10731.1,    10059.1,     9516.18,     8864.5,     7747.7,     7348.60,     5235.16,     4238.35,     4122.853,     1368.667","2+, (1,2)+, 4+, 2-, 1+, 2+, 3+, 2+, 4+, 2+"
12670.0 5,2-,4.0 keV 5,"682.5,    1217.1,    1462.9,    1482.6,    1752.7,    1849.1,    1938.8,    1957.7,    2010.1,    2309.1,    2336.4,    2610.7,    2704.5,    2841.6,    3137.1,    3385.3,    3523.5,    3666.2,    3805.2,    4014.7,    4231.1,    4311.5,    4921.8,    5053.0,    5114.1,    5320.8,    7433.6,    8430.1,   11298.5,   12666.4","0.36 2 ,     0.17 2 ,     0.20 3 ,     0.19 2 ,     0.11 1 ,     0.07 1 ,     0.81 3 ,     0.42 2 ,     0.17 2 ,     0.04 2 ,     0.28 2 ,     0.25 3 ,     0.29 2 ,     1.02 5 ,     2.03 8 ,     1.12 5 ,     0.45 3 ,     0.67 5 ,    24.0 8 ,     0.47 3 ,     5.0 5 ,     2.35 8 ,     6.88 22 ,     0.05 2 ,     2.53 10 ,     0.07 2 ,     0.10 3 ,   100.0 13 ,    17.3 7 ,     0.42 5",", , , , , , , , , , , , , , , , , , D, , , , , , , , , D, ,","11988.5,    11452.8,    11207,    11187.3,    10917.2,    10820.8,    10731.1,    10712.2,    10659.8,    10360.7,    10333.6,    10059.1,     9965.3,     9828.0,     9532.7,     9284.4,     9146.2,     9003.5,     8864.5,     8654.9,     8438.4,     8358.1,     7747.7,     7616.41,     7555.3,     7348.60,     5235.16,     4238.35,     1368.667,        0","2+, 2+, , , 2+, 3+,4+, 2+, 1+, (1,2+), 2+, 3-, (1,2)+, 1+, 1+, (2,3)+, 2+,4+, 1-, 2+, 2-, 2+, 1-, 3-, 1+, 3-, 1-, 2+, 3+, 2+, 2+, 0+"
12733.3 6,,< 0.6 keV,,,,,
12739.0 7,2+,8.0 keV 7,,,,,
12744 1,(2+),11 keV 2,,,,,
12747 2,(4+),2 keV 2,,,,,
12778 1,2+,30 keV 5,,,,,
12784 2,(1-),28 keV 4,,,,,
12807.8 5,2+,1.8 keV 6,"6374.7,    7571.4,    8567.8,   11436.2,   12802.1","1.5 8 ,     3.0 15 ,     7.6 38 ,    39 2 ,   100 5",", , , ,","6432.2,     5235.16,     4238.35,     1368.667,        0","0+, 3+, 2+, 2+, 0+"
