Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
68 Er 166     911       4.1 ps     8+      +2.2(4)      TF        1996Br09       NP A600 272 (96)
68 Er 166     1216       4.4 ps     6+      +1.5(2)     IPAC       1985Al22       ZP A322 467 (85)
68 Er 166     1350      1.62 ps    10+      +2.8(7)      TF        1996Br09       NP A600 272 (96)


68 Er 168     80       1.85 ns     2+     +0.656(13)    ME        1976St23       JPCRD 5 835 (76)
68 Er 168     264      114 ps      4+      +1.2(2)      TF        1996Br09       NP A600 272 (96)
68 Er 168     549      12.0 ps     6+      +1.8(3)      TF        1996Br09       NP A600 272 (96)
68 Er 168     821       2.8 ps     2+     +0.77(10)     TF        1996Br09       NP A600 272 (96)
68 Er 168     928      3.56 ps     8+      +2.4(4)      TF        1996Br09       NP A600 272 (96)
68 Er 168     1094      109 ns      4-      +0.96(4)    TDPAC      1980Fu03       PR C21 2575 (80)
68 Er 168     1396      1.45 ps    10+      +3.1(8)      TF        1996Br09       NP A600 272 (96)


68 Er 170     79       1.89 ns     2+     0.633(13)     ME        1969Wi04       PR 177 1786 (69)
68 Er 170     260      (135 ps)    4+     +1.09(15)    IMPAC      1968De28        Cf67HI 731 (68)


69 Tm 169      8       4.09 ns    3/2+    +0.513(5)     ME        1980Da27      JMMM 15/18 651 (80)
69 Tm 169     118       62 ps     5/2+     +0.74(5)    IPAC       1969Gu01       NP A123 386 (69)



40
 Nucleus    Ex (keV)      T1/2          I      munm      Method    NSR Keynumber   Journal Reference
69 Tm 169     139        302 ps       7/2+    +1.32(7)     IPAC       1969Gu01       NP A123 386 (69)
69 Tm 169     332         19 ps       9/2+    +1.56(9)      TF        1999Ro03       NP A647 175 (99)
69 Tm 169     368         42 ps       11/2+   +2.28(14)     TF        1999Ro03       NP A647 175 (99)
69 Tm 169     379         52 ns       7/2-    +3.04(14)   TDPAC       1997De02       PR C55 1197 (97)
69 Tm 169     637        5.4 ps       13/2+   +2.37(14)     TF        1999Ro03       NP A647 175 (99)
69 Tm 169     691        8.1 ps       15/2+    +3.2(3)      TF        1999Ro03       NP A647 175 (99)
69 Tm 169     1028        1.9 ps       17/2+    +3.2(3)      TF        1999Ro03       NP A647 175 (99)
69 Tm 169     1104        1.9 ps       19/2+    +4.2(8)      TF        1999Ro03       NP A647 175 (99)


69 Tm 171     117         55 ps       5/2+     +0.8(4)     IPAC       1968Ka14       NP A119 417 (68)
69 Tm 171     129        415 ps       7/2+    +1.27(12)    IPAC       1968Ka14       NP A119 417 (68)
69 Tm 171     636        1.26 ns      7/2+     +1.2(2)     IPAC       1978Ba03       ZP A284 161 (78)


70 Yb 157     529         45 ns       13/2+   -0.75(8)    TDPAD       1984Ra11       PR C30 169 (84)


70 Yb 164     123        0.88 ns       2+     +0.64(10)    IPAC       2004Be13        PR C69 034320


70 Yb 170     84         1.60 ns       2+     +0.669(8)     ME        1976St23      JPCRD 5 835 (76)


70 Yb 171     67         0.79 ns      3/2-    0.349(2)      ME        1976St23      JPCRD 5 835 (76)
70 Yb 171     76         1.64 ns      5/2-    +1.012(5)     ME        1970He25       PR C2 2414 (70)
70 Yb 171     231        155 ps       7/2-     0.83(5)      TF        2000St06       NP A669 27 (00)
70 Yb 171     247        149 ps       9/2-     1.53(7)      TF        2000St06       NP A669 27 (00)
70 Yb 171     487        21.4 ps      11/2-    1.54(8)      TF        2000St06       NP A669 27 (00)
70 Yb 171     509        21.3 ps      13/2-   2.31(12)      TF        2000St06       NP A669 27 (00)
70 Yb 171     833        4.3 ps       15/2-   2.10(14)      TF        2000St06       NP A669 27 (00)
70 Yb 171     860        4.2 ps       17/2-   2.83(15)      TF        2000St06       NP A669 27 (00)
70 Yb 171     1264      est1.8 ps   19/2     2.5(3)       TF        2000St06       NP A669 27 (00)
70 Yb 171     1295      est1.8 ps   21/2     3.1(3)       TF        2000St06       NP A669 27 (00)


70 Yb 172     79         1.65 ns       2+     +0.664(8)     ME        1976St23      JPCRD 5 835 (76)
Duzb 1972n 1 32
70 Yb 172     260       0.122 ns       4+     +1.37(5)     IPAC       1972Be94
(1972)
70 Yb 172     1172        8.1 ns        3+     +0.64(4)    TDPAC       1965Gu01       NP 61 65 (1965)


70 Yb 173     79          46 ps       7/2-    -0.20(7)     IPAC       1983Ca28        HFI 15 85 (83)


70 Yb 174     77         1.79 ns       2+     +0.672(5)     ME        1976St23      JPCRD 5 835 (76)


70 Yb 176     82         1.76 ns       2+     +0.76(4)      ME        1967Ec02       PR 163 1295 (67)


"71 Lu 175     114         90 ps       9/2+    +2.21(17)   IPAC, R     1969Wa30       PhSS 32 151 (69)"
71 Lu 175     251         32 ps       11/2+    +2.8(9)     IPAC       1966De08        PL 21 659 (66)


71 Lu 177     121        117 ps       9/2+     +2.2(8)     IPAC        1973Il02     IzUz 1973n4 79 (73)
71 Lu 177     150        130 ns       9/2-     +5.5(3)    TDPAC       1977Ne11        HFI 3 257 (77)


72 Hf 168     124        0.89 ns       2+      0.34(6)     IPAC       2012Wo03      PR C85 037304 (12)


41
Nucleus     Ex (keV)    T1/2         I        munm      Method    NSR Keynumber       Journal Reference


72 Hf 170     101       1.2 ns      2+       0.56(10)    IPAC         2007Wo08        PR C76 047308 (07)


72 Hf 172     95       1.28 ns      2+       0.50(10)    IPAC         2009Be42        PR C80 057303 (09)
72 Hf 172     1685       4.8 ns     (6+)      +5.6(6)     TDPAD        1980Wa23          NP A349 1 (80)
72 Hf 172     2006      163 ns      (8-)      +7.93(6)    TDPAD        1980Wa23          NP A349 1 (80)


72 Hf 173    1982      19.5 ns    (23/2)-    +6.6(2)     TDPAD        1980Wa23          NP A349 1 (80)


72 Hf 174    1549      138 ns      (6+)      +5.40(5)    TDPAD        1980Wa23          NP A349 1 (80)


72 Hf 176     88       1.43 ns      2+       +0.63(6)    IPAC         1996Al20         ZP A355 363 (96)
72 Hf 176     290      87.9 ps      4+      +1.34(15)    IPAC         1996Al20         ZP A355 363 (96)


72 Hf 177     113      537 ps      9/2-      +1.03(3)    IPAC         1996Al20         ZP A355 363 (96)
72 Hf 177     250      105 ps     11/2-      +1.5(5)     IPAC         1968Br15         CJP 46 1523 (68)
72 Hf 177     321      0.66 ns     9/2+      -0.73(9)    IPAC         1969Hu06         NP A127 609 (69)


72 Hf 178     93       1.49 ns      2+       +0.60(4)    IPAC         1962Ka14          ArkF 22 257 (62)
72 Hf 178     1554       77 ns       6+       +5.81(5)    TDPAD        1980Wa23          NP A349 1 (80)


72 Hf 180     93       1.52 ns      2+       +0.61(3)    IPAC         1996Al20         ZP A355 363 (96)
72 Hf 180     309       71 ps       4+       +1.4(2)     IPAC         1996Al20         ZP A355 363 (96)
72 Hf 180     641      10.0 ps      6+       +2.0(4)     IPAC         1996Al20         ZP A355 363 (96)


73 Ta 173     166      225 ns      9/2-      +2.66(8)    TDPAD        2006Th07        PR C74 034329 (06)
73 Ta 173     1713      ~100 ns   21/2-     +6.51(16)    TDPAD        2006Th07        PR C74 034329 (06)


NP A272 47 (76)/NIM
73 Ta 177     71        70 ns      5/2+      +4.9(5)     PPDAC    1976Ao02/1974Ao01
119 477 (74)
73 Ta 177     186      3.62 mus     5/2-     +2.05(13)    TDPAC        1978Be67          IzF 42 2286 (78)
73 Ta 177     1355       5.3 mus    21/2-     +0.080(14)   IPAD         1982Ao04          NP A381 13 (82)


73 Ta 181      6       6.05 mus     9/2-      +5.46(2)     ME          1978Sa25         ZP A288 291 (78)
73 Ta 181      136       40 ps      9/2+      +2.6(7)     IPAC         1983Ak02           IzF 47 31 (83)
73 Ta 181      482      10.8 ns     5/2+      +3.29(3)    CDPAC        1964Ag02          NP 58 651 (64)


74 W 168      199      213 ps       2+      +0.50(10)    IMPAD        1986Bi11         PL 178B 145 (86)
74 W 168      562       12 ps       4+       +1.4(8)     IMPAD        1986Bi11         PL 178B 145 (86)
74 W 168      2722       61 ps      12+       -2.5(8)     IMPAD        1986Bi11         PL 178B 145 (86)


74 W 175      235      216 ns      7/2+      -0.65(2)    TDPAD        2000Io03         PL B495 289 (00)


74 W 176     3747       41 ns      14+       +6.7(2)     TDPAD        2000Io03         PL B495 289 (00)


Nucl Structure '98
74 W 179     3348      750 ns     35/2-      8.31(9)     TDPAD        1998ByZZ
Gatlinburg 12 (1998)


74 W 180      104      1.28 ns      2+       0.52(3)      ME          1973Zi02          ZP 262 413 (73)

42
Nucleus     Ex (keV)    T1/2       I       munm       Method   NSR Keynumber    Journal Reference


74 W 182      100      1.32 ns    2+     +0.512(25)    ME        1976St23       JPCRD 5 835 (76)
74 W 182      329      62 ps      4+       +0.9(2)     IPAC       1972Be94      DUzb 1972n1 32 (72)
74 W 182      1289      1.12 ns    2-       +1.7(2)     IPAC       1973Se14       NP A211 573 (73)
74 W 182      1374      78 ps      3-       2.2(3)      IPAC       1973Se14       NP A211 573 (73)


74 W 183      47       185 ps    3/2-      -0.1(1)      ME        1967Ag02       PR 155 1342 (67)
74 W 183      99       0.73 ns   5/2-     +0.92(3)      ME        1976St23       JPCRD 5 835 (76)
74 W 183      207        ? ?      7/2-      0.4(2)       TF        1992La02       NP A536 397 (92)
74 W 183      309       ? ?      9/2-     1.53(14)      TF        1992La02       NP A536 397 (92)
74 W 183      475        ? ?       11/2-     1.1(2)       TF        1992La02       NP A536 397 (92)
74 W 183      551        ? ?       9/2-      2.2(9)       TF        1992La02       NP A536 397 (92)
74 W 183      631      10 ps     13/2-     2.6(3)       TF        1992La02       NP A536 397 (92)
74 W 183      1062      3.0 ps    17/2-     2.6(7)       TF        1992La02       NP A536 397 (92)


74 W 184      111      1.25 ns    2+     +0.578(14)    IPAC       1984Al06        ZP A316 87 (84)
74 W 184     364      46 ps      4+      +1.17(9)     IPAC       1984Al06        ZP A316 87 (84)
74 W 184     748      5.8 ps     6+       +1.8(2)     IPAC       1984Al06        ZP A316 87 (84)
74 W 184     904      1.80 ps    2+      +0.24(8)      TF        1985St18       ZP A322 287 (85)
74 W 184     1252      1.49 ps    8+       +2.9(6)      TF        1985St18       ZP A322 287 (85)


74 W 186      123      1.04 ns    2+     +0.621(17)     ME        1976St23       JPCRD 5 835 (76)
74 W 186      396      36 ps      4+     +1.28(10)      TF        1985St07       ZP A320 669 (85)
74 W 186      737      4.8 ps     2+      +0.39(8)      TF        1985St07       ZP A320 669 (85)
74 W 186      809      4.0 ps     6+       +1.9(4)      TF        1985St07       ZP A320 669 (85)


75 Re 181     357      88 ns     5/2-    +2.03(10)     TDPAC      1978Be67        IzF 42 2286 (78)


75 Re 182     236      585 ns    (2)-     +2.15(8)     TDPAC      1978Be67        IzF 42 2286 (78)
75 Re 182     2256      82 ns     16-     +3.82(13)     TDPAD      1988Ja02       PL 202B 185 (88)


75 Re 183     496      7.8 ns    9/2-    +5.14(11)     TDPAD      1980Za09        IzF 44 1988 (80)


"75 Re 185     125      10.2 ps   7/2+      +2.1(8)     IPAC       1973BeYN      Cf72 Kiev, 150 (72)"


75 Re 186     314      24.1 ns    3+      +2.18(6)     TDPAD      1980Za09        IzF 44 1988 (80)
75 Re 186     ~330      17.3 ns   (5)+    +4.62(11)     TDPAD      1980Za09        IzF 44 1988 (80)


"75 Re 187     134      10.6 ps   7/2+      +1.9(9)      PAC       1973BeYN      Cf72 Kiev, 150 (72)"
75 Re 187     206      555 ns    9/2-     +5.11(9)     TDPAC      1978Be67        IzF 42 2286 (78)


76 Os 182    7049      150 ns    25(+)    +10.6(2)     TDPAD      1989Al19       PL B228 463 (89)


76 Os 186     137      875 ps     2+      +0.58(3)      ME        1976St23       JPCRD 5 835 (76)
76 Os 186     1775      8.4 ns    (7-)     -0.22(14)    TDPAD      1984Go06       YadF 39 518 (84)


76 Os 188     155      688 ps     2+       0.63(3)      ME        1976St23       JPCRD 5 835 (76)



43
Nucleus     Ex (keV)    T1/2       I      munm       Method     NSR Keynumber        Journal Reference
76 Os 188     478      17.7 ps    4+     +1.55(17)     TF           1985St05          NP A435 635 (85)
76 Os 188     633      9.4 ps     2+     +0.85(9)      TF           1985St05          NP A435 635 (85)
76 Os 188     940      2.95 ps    6+      +2.7(4)      TF           1985St05          NP A435 635 (85)
76 Os 188     966      6.0 ps     4+      +1.7(5)      TF           1985St05          NP A435 635 (85)
76 Os 188     1771      14.0 ps    7-     -0.17(11)   TDPAD          1984Go06          YadF 39 518 (84)


76 Os 189     36       0.52 ns   1/2-    +0.23(3)      ME          1969Wa02           PL 28B 548 (69)
"76 Os 189     70       1.62 ns   5/2-    +0.981(9)   ME, IPAC      1972Wa24            ZP 254 112 (72)"
76 Os 189     95       0.23 ns   3/2-    -0.32(5)     IPAC          1971Be23          IzF 35 2295 (71)


76 Os 190     187      375 ps     2+     +0.69(3)      TF           1992St06          ZP A342 373 (92)
76 Os 190     548      12.8 ps    4+     +1.58(19)     TF           1985St05          NP A435 635 (85)
76 Os 190     558      15.2 ps    2+     +0.69(9)      TF           1985St05          NP A435 635 (85)


"76 Os 192     206      288 ps     2+     +0.79(2)    IMPAC, R       1985St05         NP A435 635 (85)"
NP A435 635 (85)/NP
76 Os 192     489      32.6 ps    2+     +0.63(6)      TF       1985St05/1983Bo13
A401 175 (83)
NP A435 635 (85)/NP
76 Os 192     580      14.7 ps    4+     +1.55(16)     TF       1985St05/1983Bo13
A401 175 (83)
76 Os 192     910      9.8 ps     4+      +1.7(4)      TF           1985St05         NP A435 635 (85)


77 Ir 187     434      152 ns    11/2-   +6.21(5)    TDPAC         1978HaXO          ARHMI 1977 52 (78)


"77 Ir 191     82       4.08 ns   1/2+    +0.581(5)    ME, R        1983Wa31            HFI 13 149 (83)"
77 Ir 191     129      89.9 ps   5/2+    +0.81(6)      TF           2000Be07          NP A669 241 (00)
77 Ir 191     179      43 ps     3/2+     +1.4(4)     IPAC          1973Il02         IzUz 1973n4 79 (73)
77 Ir 191     343      20.4 ps   7/2+    +1.40(6)      TF           2000Be07          NP A669 241 (00)
77 Ir 191     503      13.4 ps   9/2+     +2.4(2)      TF           1996St22         HFI 97/98 479 (96)
77 Ir 191     686      2.7 ps    7/2+     +0.8(3)      TF           1996St22         HFI 97/98 479 (96)
77 Ir 191     832      3.2 ps    11/2+    +3.4(9)      TF           1996St22         HFI 97/98 479 (96)


77 Ir 193     73       6.1 ns    1/2+    +0.506(2)     ME          1983Wa31            HFI 13 149 (83)
77 Ir 193     139      70 ps     5/2+    +0.89(4)      TF           2000Be07          NP A669 241 (00)
77 Ir 193     180      43 ps     3/2+     +1.1(4)     IPAC          1973Il02         IzUz 1973n4 79 (73)
77 Ir 193     358      18.2 ps   7/2+    +1.54(6)      TF           2000Be07          NP A669 241 (00)
77 Ir 193     522      13.2 ps   9/2+    +2.2(2)      TF           1996St22         HFI 97/98 479 (96)
77 Ir 193     621      4.3 ps    7/2+    +1.16(14)     TF           1996St22         HFI 97/98 479 (96)
77 Ir 193     857      4.2 ps    11/2+    +2.7(7)      TF           1996St22         HFI 97/98 479 (96)


78 Pt 180     153      370 ps     2+     0.64(12)     IPAC          1998Br33          EurPJ A3 129 (98)
78 Pt 180     411      22.9 ps    4+      1.6(6)      IPAC          2002Ro36        NIMPR 489 469 (2002)


78 Pt 182     155      479 ps     2+     +0.46(8)     IPAC          2002Ro36        NIMPR 489 469 (2002)
78 Pt 182     420      32.5 ps    4+      +1.7(8)     IPAC          2002Ro36        NIMPR 489 469 (2002)


78 Pt 184     163      360 ps     2+     +0.56(6)     IPAC          1996St12          PRL 76 2246 (96)
78 Pt 184     436      25 ps      4+      1.3(7)      IPAC          2002Ro36        NIMPR 489 469 (2002)


78 Pt 186     192      260 ps     2+     +0.54(6)     IPAC          1996St12          PRL 76 2246 (96)

44
Nucleus     Ex (keV)    T1/2        I        munm      Method   NSR Keynumber   Journal Reference


78 Pt 188     266      66 ps       2+       +0.58(8)    IPAC       1996St12      PRL 76 2246 (96)


78 Pt 190     296      62 ps       2+       +0.57(3)     TF        1995An15      NP A593 212 (95)
78 Pt 190     1631      0.79 ns     7-       +4.3(6)     IPAD       2006Le06      NP A764 24 (2006)
78 Pt 190     2297      48 ns      10-       -0.02(4)    IPAD       2006Le06      NP A764 24 (2006)
78 Pt 190     2727      1.4 ns     12+       -2.0(14)    IPAD       2006Le06      NP A764 24 (2006)


78 Pt 192     317      43.7 ps     2+       +0.60(2)     TF        1995An15      NP A593 212 (95)
78 Pt 192     612      26.5 ps     2+       +0.56(9)     TF        1992Br03      NP A536 366 (92)
78 Pt 192     785      4.2 ps      4+      +1.12(12)     TF        1992Br03      NP A536 366 (92)
78 Pt 192     1518      1.85 ns     7-       +3.4(8)     IPAD       2006Le06      NP A764 24 (2006)
78 Pt 192     2172      272 ns     10-      -0.012(10)   IPAD       2006Le06      NP A764 24 (2006)
78 Pt 192     2624      2.6 ns     12-       -2.2(11)    IPAD       2006Le06      NP A764 24 (2006)


78 Pt 194     328      41.8 ps     2+       +0.59(2)     TF        1992Br03      NP A536 366 (92)
78 Pt 194     622      35 ps       2+      +0.56(11)     TF        1992Br03      NP A536 366 (92)
78 Pt 194     811      3.7 ps      4+      +1.12(12)     TF        1992Br03      NP A536 366 (92)
78 Pt 194     1485      3.45 ns     7-       +1.8(6)     IPAD       2006Le06      NP A764 24 (2006)


78 Pt 195     99       0.17 ns    3/2-      -0.61(5)     ME        1976St23      JPCRD 5 835 (76)
78 Pt 195     130      0.61 ns    5/2-     +0.894(19)    ME        1976St23      JPCRD 5 835 (76)
78 Pt 195     211      49 ps      3/2-      +0.21(5)    CEAD       1994La02      NP A568 617 (94)
78 Pt 195     239      70 ps      5/2-      +0.64(9)     TF        1994La02      NP A568 617 (94)
78 Pt 195     389       9 ps      5/2-     +0.39(10)     TF        1994La02      NP A568 617 (94)
78 Pt 195     455      >10 ps     5/2-      +1.6(6)      TF        1994La02      NP A568 617 (94)
78 Pt 195     508      9.5 ps     7/2-      +0.55(8)     TF        1994La02      NP A568 617 (94)
78 Pt 195     544      >2.8 ps    5/2-      +1.5(4)      TF        1994La02      NP A568 617 (94)
78 Pt 195     563      14 ps      9/2-     +1.55(12)     TF        1994La02      NP A568 617 (94)
78 Pt 195     613       6 ps      7/2-      +1.4(4)      TF        1994La02      NP A568 617 (94)
78 Pt 195     667      (16 ps)    9/2-     +1.52(16)     TF        1994La02      NP A568 617 (94)
78 Pt 195     679      >2.8 ps    7/2-      +1.2(3)      TF        1994La02      NP A568 617 (94)


78 Pt 196     356      34 ps       2+       +0.59(2)     TF        1992Br03      NP A536 366 (92)
78 Pt 196     689      33.8 ps     2+       +0.54(9)      R        1992Br03      NP A536 366 (92)
78 Pt 196     877      3.55 ps     4+      +1.38(16)     TF        1992Br03      NP A536 366 (92)


78 Pt 197     53       16.6 ns    5/2-      +0.85(3)    TDPAC      1982So05      PR C25 1587 (82)


78 Pt 198     407      22.3 ps     2+       +0.63(2)     TF        1995An15      NP A593 212 (95)
78 Pt 198     775      27 ps       2+      +0.61(11)      R        1992Br03      NP A536 366 (92)
78 Pt 198     985      3.3 ps      4+       +1.2(2)       R        1992Br03      NP A536 366 (92)


78 Au 187    2669      100 ns    (31/2-)    (+)3.9(5)   TDPAD      1997Pe26        ZP A359 (97)


79 Au 189    2555      242 ns    31/2+       6.5(3)     TDPAD      1997Pe26        ZP A359 (97)




45
Nucleus     Ex (keV)    T1/2        I        munm       Method    NSR Keynumber   Journal Reference
79 Au 191    2489      400 ns    (31/2+)     6.5(6)      TDPAD       1997Pe26         ZP A359 (97)


"Cf80 HFI-V, Berlin A"
"79 Au 193    1947      10.4 ns   (21/2-)   +6.48(11)    TDPAD, R         L"
18-I (80)
79 Au 193    2477      3.5 ns    (31/2-)      5(3)       IPAD        1985Ko13       NP A439 189 (85)
79 Au 193    2701      1.8 ns    (35/2-)      2(2)       IPAD        1985Ko13       NP A439 189 (85)


79 Au 197     77       1.91 ns    1/2+     +0.416(3)      ME         1976St23      JPCRD 5 835 (76)
79 Au 197     279      18.6 ps    5/2+      +0.74(6)      TF         1988St09       ZP A330 131 (88)
79 Au 197     503      1.77 ps    5/2+      +3.0(5)       TF         1988St09       ZP A330 131 (88)
79 Au 197     548      4.6 ps     7/2+      +0.84(7)      TF         1988St09       ZP A330 131 (88)
79 Au 197     737      1.1 ps     7/2+      +1.7(5)       TF         1988St16       NP A486 374 (88)
79 Au 197     855      2.7 ps     9/2+      +1.5(5)       TF         1988St16       NP A486 374 (88)
79 Au 197     1231      0.91 ps   11/2+      +2.0(10)      TF         1988St16       NP A486 374 (88)


"Cf80 HFI-V, Berlin A"
"79 Au 198     312      124 ns      5+       -1.11(2)    TDPAD, R         L"
18-I (80)


80 Hg 188    2724      134 ns     12+      -2.02(12)     TDPAD       1983Se20       ZP A313 289 (83)


80 Hg 196    1841      5.2 ns      7-      -0.21(12)     IPAD        2006Le06      NP A764 24 (2006)


80 Hg 197     134      8.1 ns     5/2-     +0.855(15)    TDPAC       1977Kr11       ZP A283 337 (77)


80 Hg 198     412      23 ps       2+       +0.76(6)      TF         1995Br34       ZP A353 141 (95)
80 Hg 198     1048      7.2 ps      4+       +1.6(2)       TF         1995Br34       ZP A353 141 (95)
80 Hg 198     1684      6.9 ps      7-      -0.23(10)     IPAD        2006Le06      NP A764 24 (2006)


80 Hg 199     158      2.45 ns    5/2-      +0.88(3)     TDPAC       1977Kr11       ZP A283 337 (77)
80 Hg 199     208      69 ps      3/2-      -0.56(9)      TF         1990Ba40        HFI 59 129 (90)
80 Hg 199     414      115 ps     5/2-      +0.80(9)      TF         1990Ba40        HFI 59 129 (90)


80 Hg 200     368      46.4 ps     2+       +0.65(5)      TF         1995Br34       ZP A353 141 (95)
80 Hg 200     947      3.2 ps      4+       1.02(17)      TF         1995Br34       ZP A353 141 (95)


80 Hg 202     440      27.3 ps     2+       +0.78(6)      TF         1995Br34       ZP A353 141 (95)
80 Hg 202     1120      2.05 ps     4+        1.4(3)       TF         1995Br34       ZP A353 141 (95)


80 Hg 204     437      40.3 ps     2+       +0.64(6)      TF         1986Ko02       NP A448 123 (86)


80 Hg 206    2102      2.15 mus     5-       +5.45(5)     TDPAD       1982Be38       PR C26 914 (82)


81 Tl 192     388      296 ns     (8-)      +1.66(4)     TDPAD       1982Da17       NP A383 421 (82)


81 Tl 202     950      591 mus      7+       +0.90(4)     TDPAD       1974Ha06       NP A218 180 (74)


81 Tl 203     279      280 ps     3/2+     +0.10(14)     IPAC        1965Ka02        NP 61 582 (65)
81 Tl 203     681      0.88 ps    5/2+      +2.6(11)      TF         1979Ha06       NP A314 161 (79)



46
Nucleus     Ex (keV)    T1/2        I        munm      Method    NSR Keynumber     Journal Reference
81 Tl 204    1104      62 mus      (7)+     +1.187(6)    TDPAD       1972Ma59        NP A195 577 (72)


"81 Tl 205     204      1.46 ns    3/2+      -0.08(5)      TF        1984HaYY      Cf83 Meguro, 145 (83)"
"81 Tl 205     619      0.90 ps    5/2+      +2.0(3)       TF        1984HaYY      Cf83 Meguro, 145 (83)"
81 Tl 205     2623         ? ?      (5/2)-     0.71(15)     Mu-X       1972Ch07        NP A181 25 (72)
81 Tl 205     3291      2.6 mus    25/2+     +6.80(10)    TDPAD       1982Ma05        PRL 48 466 (82)


81 Tl 206    1405      78 ns      (5)+      +4.27(6)    TDPAD       1976Ha44        PL 64B 273 (76)


82 Pb 188    2578      0.83 mus     8-       -0.30(6)    TDPAD       2010Io01       PR C81 024323 (10)
82 Pb 188    2704      26 ns      11-       +11.3(3)    TDPAD       2010Io01       PR C81 024323 (10)
82 Pb 188    2713      94 ns      12+       -2.15(7)    TDPAD       2010Io01       PR C81 024323 (10)


82 Pb 192    2624      1.09 mus   (12+)      -2.08(2)    TDPAD       1983St15        NP A411 248 (83)


82 Pb 193   1586+x   20.5 ns   (21/2-)   -0.62(12)    TDPAD       2004Io01      PR C70 034305 (2004)
82 Pb 193   2585+x   9.4 ns    (29/2-)    +9.9(4)     TDPAD       1997Ch33        PRL 79 2002 (97)
82 Pb 193   2613+x   180 ns    (33/2+)   -2.82(15)    TDPAD       2004Io01      PR C70 034305 (2004)


82 Pb 194    2407      17 ns      (9)-     -0.38(14)    TDPAD       2004Vy01       PR C69 064318 (04)
82 Pb 194    2628      370 ns    (12+)      -2.00(2)    TDPAD       1985St16        ZP A322 83 (85)
82 Pb 194    2933      133 ns     (11)-     +11.3(2)    TDPAD       2004VY01       PR C69 064318 (04)


82 Pb 195    2902      95 ns     33/2+     -2.57(10)    TDPAD       1985St16        ZP A322 83 (85)


82 Pb 196    1798      140 ns      5-      +0.490(15)   TDPAD       1985St16        ZP A322 83 (85)
82 Pb 196    2308      52 ns       9-       -0.33(9)    TDPAD       2004Vy01       PR C69 064318 (04)
82 Pb 196    2695      270 ns     12+       -1.92(2)    TDPAD       1983St15        NP A411 248 (83)
82 Pb 196    3193      72 ns      11-       +11.4(6)    TDPAD       2004Vy01       PR C69 064318 (04)


82 Pb 197    1913      1.15 mus    21/2-    -0.531(6)    TDPAD       1985St16        ZP A322 83 (85)
82 Pb 197    3168      55 ns     (33/2+)   -2.51(10)    TDPAD       1985St16        ZP A322 83 (85)


82 Pb 198    1824      50 ns      (5)-      +0.38(3)    TDPAD       1985St16        ZP A322 83 (85)
82 Pb 198    2141      4.19 mus    (7-)     -0.330(5)    R-TDPAD     1987Ca23         HFI 34 77 (87)
82 Pb 198    2822      212 ns    (12)+      -1.86(2)    TDPAD       1983St15        NP A411 248 (83)


82 Pb 199   2559+x   10.1 mus   (29/2-)   -1.076(3)    TDPAD       1988Ro08        NP A482 573 (88)
82 Pb 199   3490+x   63 ns     (33/2+)    -2.51(5)    TDPAD       1985St16        ZP A322 83 (85)


82 Pb 200    2154      45.1 ns    (7-)     -0.21(10)    TDPAD       1985St16        ZP A322 83 (85)
82 Pb 200    2183      448 ns     (9-)     -0.257(10)   TDPAD       1974Lu03        NP A229 230 (74)
82 Pb 200    3006      199 ns    (12+)     -1.836(7)    TDPAD       1987Fa15        NP A475 338 (87)
82 Pb 200    5075      72 ns      (19-)    -1.79(13)    TDPAD       1987Fa15        NP A475 338 (87)


82 Pb 201    2720      63 ns      25/2-     -0.79(4)    TDPAD       1988Ro08        NP A482 573 (88)
82 Pb 201    2720+x   508 ns    (29/2-)   -1.011(6)    TDPAD       1988Ro08        NP A482 573 (88)



47
Nucleus     Ex (keV)    T1/2        I        munm      Method     NSR Keynumber   Journal Reference
82 Pb 201    4641+x    43 ns    (41/2+)    -3.7(8)     TDPAD        1988Ro08      NP A482 573 (88)


82 Pb 202    1383      1.97 ns     4+      +0.008(16)    IPAC        1977Th02      ZP A280 371 (77)
82 Pb 202    4091+x   110 ns     16+      -0.67(16)    TDPAD        1986Ja13      NP A458 225 (86)
82 Pb 202    5251+u     107 ns     19-       -1.88(6)    TDPAD        1987Fa15      NP A475 338 (87)




82 Pb 203    1922       42 ns    21/2+      -0.64(2)    TDPAD        1986Ja21       PS 34 717 (86)
82 Pb 203    2923+x   122 ns    (25/2-)    -0.74(4)    TDPAD        1988Ro08      NP A482 573 (88)


"82 Pb 204     899      2.88 ps     2+        <0.02      RIGV, R      1986Bi13       HFI 30 265 (86)"
82 Pb 204     1274      265 ns      4+      +0.225(4)    TDPAD        1974Lu03      NP A229 230 (74)


82 Pb 205    1014      5.55 ms   13/2+      -0.98(4)    TDPAD        1971Ma59      NP A176 497 (71)
