Nucleus      Ex   T1/2      Jπ       m(nm)             Method      NSR_Keynumber       Journal_Reference
31 Ga 66     66        23 ns      2+      1.01(2)     TDPAD      1976Le03        NP A258 103 (76)
31 Ga 66    1464       57 ns      7-      +0.89(2)    TDPAD      1985Ra33         HFI 26 855 (85)
31 Ga 66    3043      0.208 ns    9+       4.2(9)     IPAC       1987Ba45         HFI 36 171 (87)


31 Ga 67     359       49 ps     5/2-      1.4(7)     RIGV       1986Ba79         HFI 30 291 (86)
31 Ga 67     3578      0.16 ns    15/2+    -1.7(5)     IPAD       1986Ba79         HFI 30 291 (86)


31 Ga 68    1230       62 ns      7-      +0.72(2)    TDPAD      1985Ra33         HFI 26 855 (85)


31 Ga 70     879      22.7 ns     4-     -0.26(10)    TDPAD      1976Ta09        PR C14 329 (76)


NIMPR B56/57 851
32 Ge 67     752      146 ns     9/2+    -0.849(12)   TDPAD      1991Le31
(91)


32 Ge 68    1016       2.1 ps     2+      +1.1(3)      TF        2005Le19      PR C71 044316 (2005)
32 Ge 68    3883      132 ps      6-      0.53(11)    RIGV       1982Ba42        JP G8 1397 (82)
32 Ge 68    4054      118 ps      7-      0.78(12)    RIGV       1982Ba42        JP G8 1397 (82)



20
Nucleus    Ex (keV)    T1/2      I       munm      Method   NSR Keynumber     Journal Reference
32 Ge 69     398      2.8 mus    9/2+   -1.001(3)    TDPAD      1970Ch05         PR C1 613 (70)


PR C100 044317
32 Ge 70    1039      1.30 ps   2+     +0.64(10)      TF       2019Mc05
(2019)
32 Ge 70    1707      1.1 ps    2+      +1.0(4)       TF       2013Gu23      PR C88 014301 (2013)


32 Ge 71     175       79 ns    5/2-   +1.018(10)   TDPAD      1968Mo12        PL 27B 370 (68)
32 Ge 71     198      20.4 ms   9/2+   -1.039(2)    NMR/AC     1970Be29        NP A150 282 (70)


PR C100 044317
32 Ge 72     834      3.35 ps   2+      +0.56(8)      TF       2019Mc05
(2019)
32 Ge 72     1464      4.5 ps    2+      +0.5(3)       TF       2013Gu23      PR C88 014301 (2013)
32 Ge 72     1728      1.55 ps   4+      +1.0(3)       TF       2013Gu23      PR C88 014301 (2013)


32 Ge 73     13       2.92 mus   5/2+    1.08(3)     TDPAC      1993Co17        HFI 80 1321 (93)
32 Ge 73     13       2.92 mus   5/2+    -0.94(3)    TDPAC      1975Ha37        PL 58B 423 (75)


PR C100 044317
32 Ge 74     596      12.4 ps   2+      +0.56(8)      TF       2019Mc05
(2019)
32 Ge 74     1204      5.4 ps    2+     +0.75(15)      TF       2013Gu23      PR C88 014301 (2013)
32 Ge 74     1464      1.53 ps   4+      +1.3(4)       TF       2013Gu23      PR C88 014301 (2013)


PR C100 044317
32 Ge 76     563      18.2 ps   2+      +0.53(8)      TF       2019Mc05
(2019)
32 Ge 76     1108      8.0 ps    2+     +0.64(10)      TF       2013Gu23      PR C88 014301 (2013)
32 Ge 76     1410      1.8 ps    4+      +0.8(6)       TF       2013Gu23      PR C88 014301 (2013)


33 As 68    2158       36 ns    9(+)     2.1(2)     TDPAD      1986RaZU       BAPS 31 1210 (86)


33 As 69    1306      1.35 ns   9/2+    +4.7(6)      IPAD      1980Be32        ZP A296 181 (80)


33 As 70     888      4.5 ns     7-     0.75(5)      IPAD      1991Ba43        NP A535 425 (91)


33 As 71    1000      19.8 ns   9/2+    +5.13(9)    TDPAD     1971BEWR          ARHMI 58 (71)


33 As 72     214       85 ns    3+      +1.58(2)    TDPAD      1975Be32        NP A249 93 (75)
33 As 72     561       87 ns     7-    -0.812(14)   TDPAD      1977Ra03        PR C15 1583 (77)


33 As 73     67       5.0 ns    5/2-   +1.63(10)    TDPAC      1963Bo26          PL 6 290 (63)
33 As 73     428      5.7 mus    9/2+   +5.234(14)   TDPAD      1970Be23        PRL 25 102 (70)


33 As 74     259      26.8 ns   (4)+    +3.24(4)    TDPAD      1976Ga23        PR C14 1776 (76)


33 As 75     265      11.2 ps   3/2-    +1.0(2)      IPAC      1970Pi18         Pram 1 70 (73)
33 As 75     280      273 ps    5/2-    +0.92(2)    TDPAC      1989Mo14        NP A500 277 (89)


33 As 76     44       1.84 mus   (1)+   +0.559(5)    TDPAD      1971BeWJ        Cf70Delft 564 (70)


33 As 77     264      304 ps    5/2-    +0.74(2)    TDPAC      1989Mo14        NP A500 277 (89)
33 As 77     475      114 mus    9/2+   +5.525(9)    TDPAD      1971BeWR         ARHMI 53 (69)


21
Nucleus    Ex (keV)    T1/2         I          munm       Method     NSR Keynumber       Journal Reference
33 As 77   632      60 ps       5/2+        +2.5(4)       IPAC         1974Ch31         PR C10 774 (74)


PR C100 044317
34 Se 74     635      7.08 ps      2+        +0.74(11)       TF          2019Mc05
(2019)
34 Se 74     1269      4.0 ps       2+          1.0(2)        TF          1998Sp03         PR C57 2181 (98)
